Place Name,Total Transactions count,Total Amount,Quarter,Year,State
nicobars district,29177,94414127.64974089,1,2022,andaman-&-nicobar-islands
north and middle andaman district,72573,195693167.78757262,2,2022,andaman-&-nicobar-islands
south andaman district,954875,2357326563.362071,2,2022,andaman-&-nicobar-islands
nicobars district,43769,132900618.93062322,2,2022,andaman-&-nicobar-islands
north and middle andaman district,79574,211581970.34202647,3,2022,andaman-&-nicobar-islands
south andaman district,1455255,2967719400.849909,3,2022,andaman-&-nicobar-islands
nicobars district,49550,131330400.94545081,3,2022,andaman-&-nicobar-islands
north and middle andaman district,93297,241431284.3558103,4,2022,andaman-&-nicobar-islands
south andaman district,1835592,3600887266.099448,4,2022,andaman-&-nicobar-islands
nicobars district,58646,142355853.9735252,4,2022,andaman-&-nicobar-islands
east godavari district,943935,1235785515.599726,1,2018,andhra-pradesh
srikakulam district,458921,587778028.9183557,1,2018,andhra-pradesh
spsr nellore district,531612,676643237.8069417,1,2018,andhra-pradesh
vizianagaram district,420990,505783445.78161997,1,2018,andhra-pradesh
visakhapatnam district,1256469,1749966196.5049942,1,2018,andhra-pradesh
prakasam district,534757,748990775.8676485,1,2018,andhra-pradesh
anantapur district,638664,788830646.0324218,1,2018,andhra-pradesh
ysr district,487333,681481931.0936775,1,2018,andhra-pradesh
west godavari district,577090,853547668.7532667,1,2018,andhra-pradesh
kurnool district,679623,764905298.7350456,1,2018,andhra-pradesh
chittoor district,830324,1009621878.0870509,1,2018,andhra-pradesh
guntur district,815932,1108686589.026682,1,2018,andhra-pradesh
krishna district,863935,1284255179.6156201,1,2018,andhra-pradesh
east godavari district,1221677,2168914928.423901,2,2018,andhra-pradesh
srikakulam district,559868,929392017.3670052,2,2018,andhra-pradesh
spsr nellore district,780454,1542057934.010896,2,2018,andhra-pradesh
vizianagaram district,529588,811711367.5080049,2,2018,andhra-pradesh
visakhapatnam district,1641192,2987853607.2939086,2,2018,andhra-pradesh
prakasam district,739991,1571167562.1276271,2,2018,andhra-pradesh
anantapur district,937023,1690366079.055792,2,2018,andhra-pradesh
ysr district,690842,1415500367.686184,2,2018,andhra-pradesh
west godavari district,786033,1688025212.304594,2,2018,andhra-pradesh
kurnool district,968439,1531888665.684323,2,2018,andhra-pradesh
chittoor district,1185723,1990419125.893711,2,2018,andhra-pradesh
guntur district,1088101,2108475811.785996,2,2018,andhra-pradesh
krishna district,1224987,2448141593.4919834,2,2018,andhra-pradesh
east godavari district,3226907,3551247095.3074474,3,2018,andhra-pradesh
srikakulam district,1073883,1318322236.598471,3,2018,andhra-pradesh
spsr nellore district,1308890,2215938596.1851077,3,2018,andhra-pradesh
vizianagaram district,970132,1163546006.895916,3,2018,andhra-pradesh
visakhapatnam district,3394576,4821892253.393524,3,2018,andhra-pradesh
prakasam district,1319651,2346453445.483843,3,2018,andhra-pradesh
anantapur district,1815215,2681787750.4641647,3,2018,andhra-pradesh
ysr district,1557444,2235904512.2542043,3,2018,andhra-pradesh
west godavari district,1431282,2309078492.805814,3,2018,andhra-pradesh
kurnool district,2921189,2908389261.539773,3,2018,andhra-pradesh
chittoor district,2297429,3283517630.720593,3,2018,andhra-pradesh
guntur district,1912529,3127764663.180438,3,2018,andhra-pradesh
krishna district,2396934,3754202654.384461,3,2018,andhra-pradesh
east godavari district,3052762,4652624623.436675,4,2018,andhra-pradesh
srikakulam district,1252807,1870278609.504549,4,2018,andhra-pradesh
spsr nellore district,1814997,3293448556.973445,4,2018,andhra-pradesh
vizianagaram district,1386787,1817673252.541776,4,2018,andhra-pradesh
visakhapatnam district,4791421,7366635864.849373,4,2018,andhra-pradesh
prakasam district,1692862,3255254226.03728,4,2018,andhra-pradesh
anantapur district,2286391,3975878156.3298287,4,2018,andhra-pradesh
ysr district,1732527,3252340063.247859,4,2018,andhra-pradesh
west godavari district,1688482,3237504255.4632454,4,2018,andhra-pradesh
kurnool district,2508530,3626544852.4069242,4,2018,andhra-pradesh
chittoor district,3166201,4979093890.223491,4,2018,andhra-pradesh
guntur district,2546620,4730251217.6969595,4,2018,andhra-pradesh
krishna district,2839161,5416251838.130406,4,2018,andhra-pradesh
east godavari district,5440146,7382264724.59952,1,2019,andhra-pradesh
srikakulam district,2526855,3407912878.415258,1,2019,andhra-pradesh
spsr nellore district,3333584,5161932216.216368,1,2019,andhra-pradesh
vizianagaram district,2798241,3364576948.2993007,1,2019,andhra-pradesh
visakhapatnam district,9690866,13459857440.552681,1,2019,andhra-pradesh
prakasam district,2931081,4807527779.215152,1,2019,andhra-pradesh
anantapur district,3891336,6044730653.191345,1,2019,andhra-pradesh
ysr district,2852197,4915811593.896078,1,2019,andhra-pradesh
west godavari district,2829437,4623764455.47309,1,2019,andhra-pradesh
kurnool district,4193432,5541564892.509683,1,2019,andhra-pradesh
chittoor district,6486813,8223371732.233584,1,2019,andhra-pradesh
guntur district,4846553,7765934169.404485,1,2019,andhra-pradesh
krishna district,5443981,9061346433.07268,1,2019,andhra-pradesh
east godavari district,4699261,9116404622.476511,2,2019,andhra-pradesh
srikakulam district,2019203,4066576539.9368386,2,2019,andhra-pradesh
spsr nellore district,3141891,6880873007.482059,2,2019,andhra-pradesh
vizianagaram district,2272320,4443041665.039663,2,2019,andhra-pradesh
visakhapatnam district,11705738,20797479804.02907,2,2019,andhra-pradesh
prakasam district,2670529,6262396448.455349,2,2019,andhra-pradesh
anantapur district,3578836,7830782361.377665,2,2019,andhra-pradesh
ysr district,2606284,6376856828.130631,2,2019,andhra-pradesh
west godavari district,2402074,5676818258.955046,2,2019,andhra-pradesh
kurnool district,3895824,7358285187.018034,2,2019,andhra-pradesh
chittoor district,5983308,10982727976.22432,2,2019,andhra-pradesh
guntur district,5005275,10405246943.48149,2,2019,andhra-pradesh
krishna district,6428472,13437029115.62075,2,2019,andhra-pradesh
east godavari district,6537303,11387726470.57774,3,2019,andhra-pradesh
srikakulam district,2556296,4610131289.524039,3,2019,andhra-pradesh
spsr nellore district,4150195,8256600118.735449,3,2019,andhra-pradesh
vizianagaram district,2861581,4922069039.192161,3,2019,andhra-pradesh
visakhapatnam district,16694947,26944837120.04628,3,2019,andhra-pradesh
prakasam district,3430750,7354502261.15091,3,2019,andhra-pradesh
anantapur district,4889720,9554081289.488277,3,2019,andhra-pradesh
ysr district,3296586,7447544274.211781,3,2019,andhra-pradesh
west godavari district,3179541,6627629029.014131,3,2019,andhra-pradesh
kurnool district,5139134,9025632779.412457,3,2019,andhra-pradesh
chittoor district,8201783,13837455758.755262,3,2019,andhra-pradesh
guntur district,6942304,13075661264.18803,3,2019,andhra-pradesh
krishna district,8408474,16404073560.50078,3,2019,andhra-pradesh
east godavari district,9285739,16816774065.30131,4,2019,andhra-pradesh
srikakulam district,3712555,6832369301.879346,4,2019,andhra-pradesh
spsr nellore district,5877804,11786014089.19402,4,2019,andhra-pradesh
vizianagaram district,3998234,7175851807.068796,4,2019,andhra-pradesh
visakhapatnam district,23594874,39133296330.044624,4,2019,andhra-pradesh
prakasam district,4865473,10604077824.801031,4,2019,andhra-pradesh
anantapur district,6764112,13887248889.06406,4,2019,andhra-pradesh
ysr district,4793157,10865073855.73078,4,2019,andhra-pradesh
west godavari district,4596479,9710614747.20177,4,2019,andhra-pradesh
kurnool district,7001958,13233105728.54823,4,2019,andhra-pradesh
chittoor district,11246986,19298476027.87548,4,2019,andhra-pradesh
guntur district,9761330,18565626418.03591,4,2019,andhra-pradesh
krishna district,11719402,23039786404.046642,4,2019,andhra-pradesh
east godavari district,11346242,21854701379.428677,1,2020,andhra-pradesh
srikakulam district,4835092,9777575594.177538,1,2020,andhra-pradesh
spsr nellore district,7430247,15387829694.446861,1,2020,andhra-pradesh
vizianagaram district,5042066,9879174240.920494,1,2020,andhra-pradesh
visakhapatnam district,27115031,48809747614.67889,1,2020,andhra-pradesh
prakasam district,6318396,14169104764.52673,1,2020,andhra-pradesh
anantapur district,8466129,17864325752.82528,1,2020,andhra-pradesh
ysr district,6031255,14059924636.81991,1,2020,andhra-pradesh
west godavari district,5919670,12995834340.71623,1,2020,andhra-pradesh
kurnool district,8246869,17022710311.81304,1,2020,andhra-pradesh
chittoor district,13257740,23441848567.34419,1,2020,andhra-pradesh
guntur district,11493331,22992734620.64621,1,2020,andhra-pradesh
krishna district,12175289,24481702770.71471,1,2020,andhra-pradesh
east godavari district,13130334,26319906327.32029,2,2020,andhra-pradesh
srikakulam district,6425515,12153650076.87583,2,2020,andhra-pradesh
spsr nellore district,9454274,20665376460.772232,2,2020,andhra-pradesh
vizianagaram district,6690313,12819344389.54538,2,2020,andhra-pradesh
visakhapatnam district,25300401,48293889917.414375,2,2020,andhra-pradesh
prakasam district,8844580,19846026726.90433,2,2020,andhra-pradesh
anantapur district,10473739,22094006659.412502,2,2020,andhra-pradesh
ysr district,8033609,19597207268.13202,2,2020,andhra-pradesh
west godavari district,7273096,16585866855.15978,2,2020,andhra-pradesh
kurnool district,9821381,22419372061.805172,2,2020,andhra-pradesh
chittoor district,14848197,27361300300.01902,2,2020,andhra-pradesh
guntur district,12308707,27463593607.839104,2,2020,andhra-pradesh
krishna district,12313709,26964149095.36629,2,2020,andhra-pradesh
east godavari district,17972431,39300043804.758514,3,2020,andhra-pradesh
srikakulam district,8286289,18029574581.33742,3,2020,andhra-pradesh
spsr nellore district,16468209,39128324534.03022,3,2020,andhra-pradesh
vizianagaram district,8236703,17567816576.50126,3,2020,andhra-pradesh
visakhapatnam district,34421299,67628440368.111465,3,2020,andhra-pradesh
prakasam district,12266310,31221704852.44969,3,2020,andhra-pradesh
anantapur district,14447683,34102037972.657852,3,2020,andhra-pradesh
ysr district,11934653,32037007334.12973,3,2020,andhra-pradesh
west godavari district,10412351,25408608725.75429,3,2020,andhra-pradesh
kurnool district,13243292,32529351107.17173,3,2020,andhra-pradesh
chittoor district,20501863,42811566246.16463,3,2020,andhra-pradesh
guntur district,17601395,42531195809.75448,3,2020,andhra-pradesh
krishna district,19110457,44788458672.084435,3,2020,andhra-pradesh
east godavari district,25989490,58732615663.118416,4,2020,andhra-pradesh
srikakulam district,11092184,25222520275.27882,4,2020,andhra-pradesh
spsr nellore district,20934374,49115443663.37911,4,2020,andhra-pradesh
vizianagaram district,10580824,24094847668.44506,4,2020,andhra-pradesh
visakhapatnam district,46551467,91879823025.40399,4,2020,andhra-pradesh
prakasam district,16176867,41852443493.51539,4,2020,andhra-pradesh
anantapur district,20996384,49732610814.26222,4,2020,andhra-pradesh
ysr district,15676878,42572974713.44026,4,2020,andhra-pradesh
west godavari district,15674762,40310975762.603455,4,2020,andhra-pradesh
kurnool district,18737323,44718203115.22612,4,2020,andhra-pradesh
chittoor district,29590411,61505711149.79541,4,2020,andhra-pradesh
guntur district,26136538,60641872021.254326,4,2020,andhra-pradesh
krishna district,27981050,64461504667.60723,4,2020,andhra-pradesh
east godavari district,26190701,60027984987.969505,1,2021,andhra-pradesh
srikakulam district,11160473,26486623313.092724,1,2021,andhra-pradesh
spsr nellore district,22541428,52210333201.53073,1,2021,andhra-pradesh
vizianagaram district,10514582,24153782497.24324,1,2021,andhra-pradesh
visakhapatnam district,48248923,95308386037.84721,1,2021,andhra-pradesh
prakasam district,15175395,41396223622.17477,1,2021,andhra-pradesh
anantapur district,20102957,48353870395.01808,1,2021,andhra-pradesh
ysr district,15374473,42570919448.50447,1,2021,andhra-pradesh
west godavari district,16015685,42124030669.36126,1,2021,andhra-pradesh
kurnool district,17918524,44941629659.56964,1,2021,andhra-pradesh
chittoor district,29342609,60947491846.66089,1,2021,andhra-pradesh
guntur district,27445045,64207987853.1084,1,2021,andhra-pradesh
krishna district,29717175,69715406644.53485,1,2021,andhra-pradesh
east godavari district,31717908,74604325863.66068,2,2021,andhra-pradesh
srikakulam district,13546232,32298129544.54086,2,2021,andhra-pradesh
spsr nellore district,30290406,72283071757.09679,2,2021,andhra-pradesh
vizianagaram district,12689494,29140685236.830723,2,2021,andhra-pradesh
visakhapatnam district,54390299,114439012713.3533,2,2021,andhra-pradesh
prakasam district,19944047,54535328043.04135,2,2021,andhra-pradesh
anantapur district,25123346,60987487571.27991,2,2021,andhra-pradesh
ysr district,18457361,52523527031.021324,2,2021,andhra-pradesh
west godavari district,20950964,57233116236.187965,2,2021,andhra-pradesh
kurnool district,21972396,56659287474.9958,2,2021,andhra-pradesh
chittoor district,34344902,73654690122.43158,2,2021,andhra-pradesh
guntur district,32968819,82356914463.83287,2,2021,andhra-pradesh
krishna district,36370960,90021923049.96454,2,2021,andhra-pradesh
east godavari district,39572714,89380370072.7078,3,2021,andhra-pradesh
srikakulam district,15639768,34836400769.87681,3,2021,andhra-pradesh
spsr nellore district,34411958,77839676988.30869,3,2021,andhra-pradesh
vizianagaram district,14510005,31383541628.21252,3,2021,andhra-pradesh
visakhapatnam district,69220981,136945652159.2651,3,2021,andhra-pradesh
prakasam district,24116580,63367713446.92805,3,2021,andhra-pradesh
anantapur district,30366444,70291248155.64975,3,2021,andhra-pradesh
ysr district,22439316,60683557724.65233,3,2021,andhra-pradesh
west godavari district,26245039,66647238455.1675,3,2021,andhra-pradesh
kurnool district,26377809,62527453761.598076,3,2021,andhra-pradesh
chittoor district,42628568,89371931753.04831,3,2021,andhra-pradesh
guntur district,41675093,96525353090.12306,3,2021,andhra-pradesh
krishna district,44828275,104417897558.5897,3,2021,andhra-pradesh
east godavari district,48992531,106725597026.00351,4,2021,andhra-pradesh
srikakulam district,18501857,39713657870.15512,4,2021,andhra-pradesh
spsr nellore district,41921081,92256405076.26547,4,2021,andhra-pradesh
vizianagaram district,17253059,36577529464.968704,4,2021,andhra-pradesh
visakhapatnam district,82711538,159530099772.73468,4,2021,andhra-pradesh
prakasam district,27858275,71323060008.47623,4,2021,andhra-pradesh
anantapur district,36129136,81239787006.64764,4,2021,andhra-pradesh
ysr district,26340348,69081850069.2033,4,2021,andhra-pradesh
west godavari district,33235175,81292461575.08183,4,2021,andhra-pradesh
kurnool district,31782248,73968947669.64754,4,2021,andhra-pradesh
chittoor district,51119640,103985734663.7351,4,2021,andhra-pradesh
guntur district,50919286,115553993673.1733,4,2021,andhra-pradesh
krishna district,55489829,125015323207.8983,4,2021,andhra-pradesh
east godavari district,54738830,121067103712.79561,1,2022,andhra-pradesh
srikakulam district,20990782,46898912115.649216,1,2022,andhra-pradesh
spsr nellore district,47645702,104895571602.1398,1,2022,andhra-pradesh
vizianagaram district,19278262,41994853361.58878,1,2022,andhra-pradesh
visakhapatnam district,88233362,170120350591.26,1,2022,andhra-pradesh
prakasam district,31340975,79494373254.71565,1,2022,andhra-pradesh
anantapur district,40613148,90197023268.43825,1,2022,andhra-pradesh
ysr district,29783739,78421693518.90942,1,2022,andhra-pradesh
west godavari district,37271259,92397939903.60939,1,2022,andhra-pradesh
kurnool district,35093633,81568420500.54749,1,2022,andhra-pradesh
chittoor district,58561024,117900595508.634,1,2022,andhra-pradesh
guntur district,57226996,129673727687.0894,1,2022,andhra-pradesh
krishna district,61826199,139690081529.49042,1,2022,andhra-pradesh
east godavari district,62072845,135531452997.63911,2,2022,andhra-pradesh
srikakulam district,23727353,53754764122.43269,2,2022,andhra-pradesh
spsr nellore district,54838708,121941082043.49481,2,2022,andhra-pradesh
vizianagaram district,21766135,47294745020.495636,2,2022,andhra-pradesh
visakhapatnam district,101387402,193242841582.14282,2,2022,andhra-pradesh
prakasam district,36163507,90435082545.97766,2,2022,andhra-pradesh
anantapur district,46099366,102138758015.7691,2,2022,andhra-pradesh
ysr district,33154559,87601310069.59737,2,2022,andhra-pradesh
west godavari district,44409239,107973244960.42819,2,2022,andhra-pradesh
kurnool district,40165692,92409350855.50198,2,2022,andhra-pradesh
chittoor district,67507661,136435445124.75612,2,2022,andhra-pradesh
guntur district,66315749,147098141568.7623,2,2022,andhra-pradesh
krishna district,73525814,163997729295.9313,2,2022,andhra-pradesh
east godavari district,61467134,129677722169.7482,3,2022,andhra-pradesh
srikakulam district,22126541,46899962921.785614,3,2022,andhra-pradesh
spsr nellore district,42116582,95099325968.25972,3,2022,andhra-pradesh
vizianagaram district,20440645,42513313394.84207,3,2022,andhra-pradesh
visakhapatnam district,97434546,181124419863.6144,3,2022,andhra-pradesh
prakasam district,35376080,87475230073.46388,3,2022,andhra-pradesh
anantapur district,45165363,97735649608.10074,3,2022,andhra-pradesh
ysr district,33119038,86016932181.12372,3,2022,andhra-pradesh
west godavari district,43635951,101706854744.31871,3,2022,andhra-pradesh
kurnool district,39557913,88415335176.31995,3,2022,andhra-pradesh
chittoor district,65751781,133053581631.6395,3,2022,andhra-pradesh
guntur district,65612317,141588522953.2377,3,2022,andhra-pradesh
krishna district,71051144,153770559025.69122,3,2022,andhra-pradesh
east godavari district,68016055,136531110139.8625,4,2022,andhra-pradesh
srikakulam district,23693779,47726411107.886284,4,2022,andhra-pradesh
spsr nellore district,42582064,92085916180.6851,4,2022,andhra-pradesh
vizianagaram district,22205190,44467386404.34759,4,2022,andhra-pradesh
visakhapatnam district,103790055,185306149744.73102,4,2022,andhra-pradesh
prakasam district,37211077,88105031866.36835,4,2022,andhra-pradesh
anantapur district,48299601,101533878537.2343,4,2022,andhra-pradesh
ysr district,35201596,87360426792.81667,4,2022,andhra-pradesh
west godavari district,47919930,105335724990.5932,4,2022,andhra-pradesh
kurnool district,43524766,94667441029.08345,4,2022,andhra-pradesh
chittoor district,70322534,136840859888.1815,4,2022,andhra-pradesh
guntur district,70723763,146938735166.5236,4,2022,andhra-pradesh
krishna district,76526667,157826011193.3544,4,2022,andhra-pradesh
lower dibang valley district,1356,1076236.814073793,1,2018,arunachal-pradesh
lower subansiri district,1477,3650727.893614269,1,2018,arunachal-pradesh
longding district,2321,4361531.578447229,1,2018,arunachal-pradesh
west siang district,1887,4796675.565399804,1,2018,arunachal-pradesh
kamle district,14,7971.330494807651,1,2018,arunachal-pradesh
upper siang district,126,186610.66988095018,1,2018,arunachal-pradesh
tirap district,945,1064265.0002443574,1,2018,arunachal-pradesh
papum pare district,14224,32555848.46233147,1,2018,arunachal-pradesh
kurung kumey district,84,99416.58027150274,1,2018,arunachal-pradesh
siang district,252,339471.80434222345,1,2018,arunachal-pradesh
lower siang district,1292,2337960.7148240386,1,2018,arunachal-pradesh
kra daadi district,207,495375.1454853307,1,2018,arunachal-pradesh
changlang district,3195,5380749.415278763,1,2018,arunachal-pradesh
pakke kessang district,9,9131.404205737199,1,2018,arunachal-pradesh
dibang valley district,2,169.88856537681642,1,2018,arunachal-pradesh
west kameng district,5787,9540632.547015157,1,2018,arunachal-pradesh
east siang district,3286,5533620.186295529,1,2018,arunachal-pradesh
upper subansiri district,735,1358367.5018580484,1,2018,arunachal-pradesh
east kameng district,529,473824.76595106337,1,2018,arunachal-pradesh
lohit district,3747,11496949.54576835,1,2018,arunachal-pradesh
lepa rada district,288,403149.46702687367,1,2018,arunachal-pradesh
tawang district,2334,5055665.022950603,1,2018,arunachal-pradesh
namsai district,1400,2162984.705083958,1,2018,arunachal-pradesh
lower dibang valley district,1827,2561237.506207262,2,2018,arunachal-pradesh
lower subansiri district,1666,4113742.04406352,2,2018,arunachal-pradesh
longding district,4634,10271170.16552131,2,2018,arunachal-pradesh
west siang district,2579,7610989.567485569,2,2018,arunachal-pradesh
kamle district,12,23654.058373191845,2,2018,arunachal-pradesh
upper siang district,240,494895.09277159756,2,2018,arunachal-pradesh
tirap district,1903,3126393.7649546335,2,2018,arunachal-pradesh
papum pare district,25363,66520931.20355792,2,2018,arunachal-pradesh
kurung kumey district,83,123737.2220411206,2,2018,arunachal-pradesh
anjaw district,7,7871.020814692305,2,2018,arunachal-pradesh
siang district,336,740232.6309634304,2,2018,arunachal-pradesh
lower siang district,2292,2179451.657976534,2,2018,arunachal-pradesh
kra daadi district,247,987135.9959717204,2,2018,arunachal-pradesh
changlang district,6066,13294258.50337311,2,2018,arunachal-pradesh
pakke kessang district,48,58359.57138935899,2,2018,arunachal-pradesh
dibang valley district,68,65769.2036735354,2,2018,arunachal-pradesh
west kameng district,10466,25521321.34140157,2,2018,arunachal-pradesh
east siang district,6363,15285584.202916931,2,2018,arunachal-pradesh
upper subansiri district,1285,2911910.3689207276,2,2018,arunachal-pradesh
east kameng district,522,1825297.4617279815,2,2018,arunachal-pradesh
lohit district,6962,20520618.88189011,2,2018,arunachal-pradesh
lepa rada district,511,731444.7370576829,2,2018,arunachal-pradesh
tawang district,5447,13722374.81135791,2,2018,arunachal-pradesh
namsai district,3230,6271811.327635023,2,2018,arunachal-pradesh
lower dibang valley district,2824,6074558.207066888,3,2018,arunachal-pradesh
lower subansiri district,2346,5154231.737357968,3,2018,arunachal-pradesh
longding district,5288,18327334.05075552,3,2018,arunachal-pradesh
west siang district,3337,12966152.79251931,3,2018,arunachal-pradesh
kamle district,93,30504.94301319112,3,2018,arunachal-pradesh
upper siang district,250,743956.1055720671,3,2018,arunachal-pradesh
tirap district,3322,7479257.007852319,3,2018,arunachal-pradesh
papum pare district,43282,101080479.2917223,3,2018,arunachal-pradesh
kurung kumey district,255,303027.4066451341,3,2018,arunachal-pradesh
anjaw district,13,95403.67678261214,3,2018,arunachal-pradesh
siang district,615,2141734.499956036,3,2018,arunachal-pradesh
lower siang district,2625,3045590.882295873,3,2018,arunachal-pradesh
kra daadi district,436,1606758.4080739785,3,2018,arunachal-pradesh
changlang district,10162,20494174.9497154,3,2018,arunachal-pradesh
pakke kessang district,165,305164.81707575504,3,2018,arunachal-pradesh
dibang valley district,29,196466.66696677107,3,2018,arunachal-pradesh
west kameng district,17026,48528147.45054105,3,2018,arunachal-pradesh
east siang district,10539,24885270.773230053,3,2018,arunachal-pradesh
upper subansiri district,1601,4223297.613673143,3,2018,arunachal-pradesh
east kameng district,1029,3132863.590645522,3,2018,arunachal-pradesh
lohit district,11595,32702331.664437763,3,2018,arunachal-pradesh
lepa rada district,523,1777602.4370017413,3,2018,arunachal-pradesh
tawang district,8715,25733824.99410926,3,2018,arunachal-pradesh
namsai district,5076,10698272.7743813,3,2018,arunachal-pradesh
lower dibang valley district,4227,10951332.39393786,4,2018,arunachal-pradesh
lower subansiri district,3735,8884930.591487257,4,2018,arunachal-pradesh
longding district,6581,22545311.85089966,4,2018,arunachal-pradesh
west siang district,3813,14013986.24482587,4,2018,arunachal-pradesh
kamle district,247,361497.05682825705,4,2018,arunachal-pradesh
upper siang district,1041,2157332.9473089008,4,2018,arunachal-pradesh
tirap district,5725,10811742.67058608,4,2018,arunachal-pradesh
papum pare district,55224,154875448.2077814,4,2018,arunachal-pradesh
kurung kumey district,444,759686.7195777439,4,2018,arunachal-pradesh
anjaw district,273,495578.19942643447,4,2018,arunachal-pradesh
siang district,822,2176630.237443937,4,2018,arunachal-pradesh
lower siang district,2883,4533291.201383284,4,2018,arunachal-pradesh
kra daadi district,750,3254327.442489025,4,2018,arunachal-pradesh
changlang district,13950,32343047.413952347,4,2018,arunachal-pradesh
pakke kessang district,297,462143.5189972004,4,2018,arunachal-pradesh
dibang valley district,40,97205.28808666342,4,2018,arunachal-pradesh
west kameng district,25439,89194886.84322134,4,2018,arunachal-pradesh
shi yomi district,61,42483.80153055695,4,2018,arunachal-pradesh
east siang district,12893,34272134.34491677,4,2018,arunachal-pradesh
upper subansiri district,2686,8771042.079749444,4,2018,arunachal-pradesh
east kameng district,1750,5936855.710462087,4,2018,arunachal-pradesh
lohit district,14268,40510521.94979761,4,2018,arunachal-pradesh
lepa rada district,932,3023578.1893019043,4,2018,arunachal-pradesh
tawang district,11104,35921510.894032694,4,2018,arunachal-pradesh
namsai district,7244,17643523.29373534,4,2018,arunachal-pradesh
lower dibang valley district,6314,13738776.181438861,1,2019,arunachal-pradesh
lower subansiri district,4994,12615032.12289183,1,2019,arunachal-pradesh
longding district,7287,25349462.055245362,1,2019,arunachal-pradesh
west siang district,5921,19426751.30123389,1,2019,arunachal-pradesh
kamle district,391,725807.1059240355,1,2019,arunachal-pradesh
upper siang district,1154,2756678.3077581595,1,2019,arunachal-pradesh
tirap district,6877,14075747.836402498,1,2019,arunachal-pradesh
